business_date,symbol,open_price,high_price,low_price,close_price,total_traded_quantity,total_traded_value
2021-09-22,MKJC,186.5,186.5,186.5,186.5,10.0,1865.0
2021-09-23,MKJC,186.5,194.0,186.5,194.0,43.0,8184.4
2021-09-26,MKJC,197.8,205.7,197.8,205.7,40.0,8033.0
2021-09-27,MKJC,209.8,226.2,209.8,226.2,70.0,15428.0
2021-09-28,MKJC,226.2,248.8,226.2,248.8,61.0,14501.8
2021-09-29,MKJC,253.7,269.0,253.7,269.0,50.0,12993.7
2021-09-30,MKJC,274.3,295.9,274.3,295.9,80.0,23137.0
2021-10-03,MKJC,301.8,325.4,301.8,325.4,237.0,76497.1
2021-10-04,MKJC,325.4,357.9,325.4,357.9,1960.0,684137.0
2021-10-05,MKJC,365.0,393.6,365.0,393.6,490.0,192162.0
2021-10-06,MKJC,401.4,432.9,401.4,432.9,9919.0,4291135.1
2021-10-10,MKJC,441.5,476.1,399.7,476.1,19643.0,8682853.4
2021-10-11,MKJC,485.0,500.0,440.0,460.0,12360.0,5716882.0
2021-10-17,MKJC,469.0,470.0,421.0,444.0,4210.0,1868883.0
2021-10-18,MKJC,444.0,444.0,405.0,417.5,4363.0,1837982.9
2021-10-19,MKJC,417.5,417.5,380.0,384.0,6370.0,2496810.9
2021-10-20,MKJC,384.0,422.4,384.0,422.4,2071.0,838446.4
2021-10-21,MKJC,430.0,430.0,402.0,411.1,2307.0,957372.2
2021-10-24,MKJC,419.0,424.0,388.0,411.0,3868.0,1600156.0
2021-10-25,MKJC,419.0,452.0,404.1,426.0,5561.0,2375063.0
2021-10-26,MKJC,434.5,468.6,434.0,465.0,10535.0,4740218.4
2021-10-27,MKJC,474.3,499.8,447.0,478.0,8020.0,3846097.5
2021-10-28,MKJC,478.0,499.8,452.0,499.0,5225.0,2507073.0
2021-10-31,MKJC,492.0,541.2,466.0,510.0,9397.0,4682867.8
2021-11-01,MKJC,516.0,517.0,490.0,490.0,5305.0,2627338.0
2021-11-02,MKJC,490.0,498.0,470.0,490.0,4051.0,1951322.0
2021-11-03,MKJC,499.0,499.0,472.1,484.0,5963.0,2892001.2
2021-11-08,MKJC,484.0,500.0,472.0,481.0,4543.0,2212259.5
2021-11-09,MKJC,472.0,477.0,456.2,470.0,6167.0,2870880.0
2021-11-11,MKJC,460.6,460.6,442.0,450.0,3812.0,1702212.0
2021-11-14,MKJC,459.0,459.0,416.0,437.0,2889.0,1263337.7
2021-11-15,MKJC,437.0,479.9,429.0,479.0,10219.0,4668644.0
2021-11-16,MKJC,481.0,526.9,470.0,526.9,20389.0,10408575.7
2021-11-17,MKJC,535.0,579.5,535.0,577.0,18598.0,10562093.5
2021-11-18,MKJC,588.0,598.0,540.0,548.0,13900.0,7841682.4
2021-11-21,MKJC,537.1,560.0,526.5,530.0,9353.0,5023303.0
2021-11-22,MKJC,530.0,535.0,522.0,528.1,4575.0,2421487.0
2021-11-23,MKJC,518.0,530.4,514.1,516.1,5314.0,2772074.7
2021-11-24,MKJC,506.0,567.7,490.0,565.0,19047.0,10282668.5
2021-11-25,MKJC,553.7,597.7,553.7,557.0,9960.0,5685011.7
2021-11-28,MKJC,568.1,590.0,527.0,554.9,11767.0,6434468.0
2021-11-29,MKJC,545.0,565.0,535.1,560.0,7635.0,4191765.0
2021-11-30,MKJC,548.8,573.0,539.0,570.0,8778.0,4920487.0
2021-12-01,MKJC,565.0,580.0,555.0,563.0,7020.0,3922176.0
2021-12-02,MKJC,555.0,556.2,525.0,525.0,4706.0,2534887.6
2021-12-05,MKJC,515.1,545.0,497.0,545.0,7328.0,3768255.5
2021-12-06,MKJC,555.0,555.0,495.0,545.0,6478.0,3380613.0
2021-12-07,MKJC,545.0,555.0,511.6,528.0,7356.0,3900651.0
2021-12-08,MKJC,517.5,538.0,500.0,538.0,5559.0,2843827.5
2021-12-09,MKJC,527.3,530.0,507.0,520.0,3576.0,1841363.0
2021-12-12,MKJC,509.6,509.6,470.1,506.0,6650.0,3252850.0
2021-12-13,MKJC,495.9,495.9,458.0,477.0,5768.0,2691366.0
2021-12-14,MKJC,485.0,518.5,458.2,518.5,9465.0,4646099.0
2021-12-15,MKJC,519.0,528.8,490.1,519.0,14255.0,7320306.5
2021-12-16,MKJC,508.7,508.7,480.0,480.0,4875.0,2390478.0
2021-12-20,MKJC,470.4,471.2,441.1,452.0,7119.0,3215133.9
2021-12-21,MKJC,457.0,459.0,436.4,443.0,8661.0,3849123.3
2021-12-22,MKJC,451.8,470.0,444.0,447.0,4255.0,1954094.0
2021-12-23,MKJC,455.0,468.0,444.9,448.0,6635.0,2995650.3
2021-12-26,MKJC,456.0,463.0,442.1,445.9,4808.0,2162715.0
2021-12-27,MKJC,453.9,453.9,416.5,430.0,4649.0,2007627.3
2021-12-28,MKJC,434.0,434.0,409.0,409.0,5055.0,2111389.0
2021-12-29,MKJC,417.1,430.0,409.0,416.8,4132.0,1730523.0
2022-01-02,MKJC,425.0,425.0,410.0,420.0,1877.0,783187.2
2022-01-03,MKJC,411.6,436.0,411.6,423.3,2710.0,1134084.0
2022-01-04,MKJC,422.0,428.0,415.1,428.0,3112.0,1316003.0
2022-01-05,MKJC,428.0,462.7,427.8,445.0,10708.0,4758177.4
2022-01-06,MKJC,445.0,474.3,428.0,474.3,7956.0,3649732.5
2022-01-09,MKJC,475.0,503.8,466.1,503.7,12336.0,6079912.4
2022-01-10,MKJC,493.7,525.0,484.0,518.8,4536.0,2323382.0
2022-01-11,MKJC,510.0,525.0,498.0,520.0,5392.0,2759468.5
2022-01-12,MKJC,530.4,542.0,490.0,542.0,23881.0,12143520.4
2022-01-13,MKJC,532.0,543.0,513.0,537.5,7312.0,3878941.5
2022-01-16,MKJC,537.5,548.0,507.0,525.0,12772.0,6720312.1
2022-01-17,MKJC,534.0,534.0,504.0,515.0,11898.0,6101371.3
2022-01-18,MKJC,505.2,525.3,504.7,508.0,9041.0,4646748.5
2022-01-19,MKJC,500.0,515.0,492.0,500.0,8909.0,4458364.6
2022-01-20,MKJC,491.0,550.0,491.0,550.0,35756.0,19119997.6
2022-01-23,MKJC,561.0,605.0,561.0,603.5,45858.0,27422207.1
2022-01-24,MKJC,595.0,598.0,565.0,579.0,24873.0,14456489.3
2022-01-25,MKJC,568.0,591.6,557.0,580.0,17310.0,9907575.0
2022-01-26,MKJC,568.4,591.4,549.0,591.4,13347.0,7576973.9
2022-01-27,MKJC,579.6,603.0,557.0,581.0,10652.0,6204754.6
2022-01-30,MKJC,592.0,595.0,570.0,580.0,34550.0,20001696.5
2022-01-31,MKJC,580.0,580.0,561.0,580.0,12351.0,7045043.5
2022-02-01,MKJC,580.0,629.0,574.0,612.0,33991.0,20405222.4
2022-02-03,MKJC,610.0,638.0,610.0,638.0,39284.0,24625089.0
2022-02-06,MKJC,650.0,650.0,612.0,614.0,26400.0,16343304.3
2022-02-07,MKJC,603.0,615.0,591.9,610.0,12574.0,7662967.6
2022-02-08,MKJC,622.2,622.2,586.1,596.0,16099.0,9678618.6
2022-02-09,MKJC,584.2,607.0,577.1,607.0,8222.0,4864092.5
2022-02-10,MKJC,595.0,606.0,585.0,600.0,5681.0,3371159.0
2022-02-13,MKJC,588.0,598.0,556.0,598.0,9207.0,5258612.0
2022-02-14,MKJC,586.1,586.1,575.0,575.0,2653.0,1529808.5
2022-02-15,MKJC,575.0,607.0,570.1,600.0,4530.0,2644382.0
2022-02-16,MKJC,600.0,610.0,566.0,570.0,4397.0,2543127.2
2022-02-17,MKJC,560.0,597.0,560.0,589.8,12852.0,7428904.0
2022-02-20,MKJC,579.1,622.0,570.0,599.0,17470.0,10452161.3
2022-02-21,MKJC,589.0,623.1,589.0,620.0,13753.0,8460429.2
2022-02-22,MKJC,610.0,682.0,610.0,682.0,32055.0,21538917.0
2022-02-23,MKJC,695.6,733.9,668.6,720.0,22703.0,15974384.0
2022-02-24,MKJC,705.6,714.0,666.0,693.0,19410.0,13258065.6
2022-02-27,MKJC,679.2,720.0,665.9,678.0,12600.0,8502484.8
2022-02-28,MKJC,691.5,691.5,621.0,632.0,12871.0,8330956.1
2022-03-02,MKJC,632.0,640.0,595.9,615.0,9396.0,5686656.6
2022-03-06,MKJC,622.6,663.0,596.0,663.0,19794.0,12543978.0
2022-03-07,MKJC,676.2,676.2,644.0,665.0,14258.0,9430232.7
2022-03-09,MKJC,675.0,675.0,615.0,646.0,9292.0,5981235.8
2022-03-10,MKJC,640.0,690.0,634.0,685.0,17914.0,11955831.6
2022-03-13,MKJC,690.0,710.0,673.0,710.0,19098.0,13378836.7
2022-03-14,MKJC,696.0,708.0,681.1,685.3,1516.0,1044176.6
2022-03-15,MKJC,699.0,699.0,650.0,652.0,7993.0,5304215.6
2022-03-16,MKJC,665.0,705.0,640.0,692.0,6260.0,4124189.3
2022-03-20,MKJC,678.2,678.2,656.1,666.0,8085.0,5367706.6
2022-03-21,MKJC,666.0,686.0,643.1,686.0,8311.0,5555696.0
2022-03-22,MKJC,695.0,695.0,652.7,669.9,5634.0,3741190.9
2022-03-23,MKJC,675.0,675.0,640.0,663.0,9565.0,6217699.5
2022-03-24,MKJC,649.8,653.0,635.0,636.0,5868.0,3766698.0
2022-03-27,MKJC,623.3,655.0,615.4,620.0,7005.0,4380839.0
2022-03-28,MKJC,610.0,637.0,610.0,629.0,8742.0,5454223.0
2022-03-29,MKJC,641.0,641.0,591.0,612.1,3728.0,2267193.3
2022-03-30,MKJC,624.0,632.0,600.1,631.9,4237.0,2631051.0
2022-03-31,MKJC,621.0,637.5,613.0,620.0,5482.0,3396212.0
2022-04-03,MKJC,608.0,615.0,597.0,612.0,3313.0,2009987.9
2022-04-04,MKJC,600.1,625.0,600.0,602.0,6209.0,3753057.8
2022-04-05,MKJC,590.0,604.0,580.0,584.0,6418.0,3771858.5
2022-04-06,MKJC,573.0,594.0,573.0,592.0,2085.0,1219089.5
2022-04-07,MKJC,582.0,606.9,582.0,588.0,2870.0,1704064.0
2022-04-11,MKJC,580.0,603.4,560.0,560.2,4160.0,2388612.5
2022-04-12,MKJC,550.0,550.0,530.0,540.0,2151.0,1155811.0
