BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-03-07,SPL,265.0,291.5,265.0,291.5,200,57166.7
2023-03-09,SPL,297.3,320.6,297.3,320.6,480,153314.0
2023-03-12,SPL,327.0,352.6,327.0,352.6,700,246123.0
2023-03-13,SPL,359.6,387.8,359.6,387.8,5031,1950322.8
2023-03-14,SPL,395.0,426.5,395.0,426.5,3160,1346959.0
2023-03-15,SPL,435.0,469.1,435.0,469.1,7236,3393570.6
2023-03-16,SPL,478.4,516.0,478.4,516.0,19555,10046282.0
2023-03-19,SPL,526.3,567.6,510.0,567.6,50123,27078955.8
2023-03-20,SPL,565.0,610.9,534.4,590.0,20723,12220973.8
2023-03-22,SPL,590.0,590.0,564.0,569.7,13780,7875859.3
2023-03-23,SPL,560.0,560.0,526.6,537.0,24690,13308010.3
2023-03-26,SPL,526.3,537.0,515.0,530.0,8215,4351208.0
2023-03-27,SPL,535.0,537.1,515.0,535.0,10120,5308599.0
2023-03-28,SPL,545.0,557.9,525.0,544.0,8314,4522801.0
2023-03-29,SPL,533.3,566.0,531.1,550.0,10120,5549275.8
2023-03-30,SPL,539.0,560.0,539.0,544.5,5787,3158064.0
2023-04-02,SPL,544.5,544.0,520.0,520.0,6780,3577681.4
2023-04-03,SPL,525.0,526.0,511.3,521.0,9223,4768508.8
2023-04-04,SPL,511.0,542.1,510.6,526.0,2125,1103547.0
2023-04-05,SPL,516.1,535.6,516.1,535.6,2730,1435779.0
2023-04-06,SPL,526.0,546.0,526.0,534.1,8778,4706358.0
2023-04-09,SPL,523.5,535.6,515.0,515.0,7856,4155658.2
2023-04-10,SPL,525.0,544.0,516.1,537.0,5200,2769207.0
2023-04-11,SPL,530.0,541.0,530.0,540.0,3295,1772198.0
2023-04-12,SPL,550.0,560.0,541.0,559.9,13709,7571108.6
2023-04-13,SPL,565.0,565.0,545.2,558.4,3715,2048425.5
2023-04-16,SPL,552.0,559.0,541.0,557.0,7580,4175363.0
2023-04-17,SPL,565.0,565.0,535.0,550.0,4250,2308064.0
2023-04-18,SPL,539.0,552.0,529.0,550.0,2120,1150444.0
2023-04-20,SPL,550.0,565.0,538.1,549.8,2641,1456125.5
2023-04-23,SPL,540.0,550.9,533.0,550.0,4803,2605771.8
2023-04-24,SPL,540.0,543.0,531.0,536.0,900,483371.0
2023-04-25,SPL,527.2,546.7,527.2,540.0,1440,776926.0
2023-04-26,SPL,530.1,547.0,530.0,530.0,1725,922967.5
2023-04-27,SPL,520.1,560.0,520.1,530.1,8902,4832978.0
2023-04-30,SPL,520.8,532.0,520.8,527.9,1190,628191.0
2023-05-02,SPL,527.9,529.0,515.2,529.0,2428,1273500.6
2023-05-03,SPL,519.0,527.0,518.7,527.0,790,410622.0
2023-05-04,SPL,518.2,525.0,517.3,525.0,750,389970.0
2023-05-07,SPL,521.0,521.0,510.2,519.0,4218,2164457.6
2023-05-08,SPL,509.0,519.9,509.0,519.9,1180,603841.0
2023-05-09,SPL,512.0,519.9,510.2,518.0,400,205982.0
2023-05-10,SPL,521.9,525.4,512.0,520.0,530,273124.0
2023-05-11,SPL,510.0,527.0,506.0,527.0,1070,552633.0
2023-05-14,SPL,520.0,520.0,508.0,518.0,2085,1066535.0
2023-05-15,SPL,520.0,527.0,507.0,514.9,440,224371.0
2023-05-16,SPL,506.0,515.0,506.0,510.0,795,404819.0
2023-05-17,SPL,520.2,530.6,515.0,525.0,1410,735914.0
2023-05-18,SPL,535.0,535.0,512.0,526.4,1150,608063.0
2023-05-21,SPL,518.1,540.0,518.1,537.7,4630,2470003.0
2023-05-22,SPL,527.0,540.0,519.1,539.9,4000,2137195.0
2023-05-23,SPL,540.0,559.0,540.0,555.0,9151,5047662.5
2023-05-24,SPL,544.0,571.9,544.0,571.9,7120,4014032.0
2023-05-28,SPL,561.0,574.0,555.2,574.0,8965,5022577.0
2023-05-30,SPL,580.0,580.0,547.0,550.0,3407,1872491.7
2023-05-31,SPL,539.1,561.0,528.4,547.0,3230,1737693.0
2023-06-01,SPL,547.0,568.9,538.0,550.0,1280,705270.0
2023-06-04,SPL,560.0,595.0,552.0,586.5,11135,6362593.0
2023-06-05,SPL,590.0,608.0,574.8,608.0,15545,9173960.0
2023-06-06,SPL,608.0,641.9,600.0,641.9,6906,4286078.5
2023-06-07,SPL,640.0,660.0,627.2,652.8,5340,3410475.0
2023-06-08,SPL,665.8,670.0,634.0,670.0,12898,8531202.5
2023-06-11,SPL,683.0,683.0,660.0,675.0,14243,9554019.3
2023-06-12,SPL,680.0,708.9,665.0,708.9,8466,5808410.0
2023-06-13,SPL,715.0,765.0,679.0,765.0,7068,4916210.6
2023-06-14,SPL,780.0,780.0,692.0,732.0,9982,7134747.1
2023-06-15,SPL,735.0,770.0,688.0,770.0,5419,3837960.1
2023-06-18,SPL,754.6,754.6,707.2,727.0,5955,4273101.8
2023-06-19,SPL,712.5,739.0,693.2,739.0,6295,4427553.1
2023-06-20,SPL,750.0,750.0,688.0,744.0,9583,6802125.3
2023-06-21,SPL,758.0,773.1,700.0,745.0,17811,13296315.5
2023-06-22,SPL,730.1,790.0,707.0,790.0,3501,2550830.1
2023-06-25,SPL,774.2,789.0,714.5,736.2,9965,7420557.4
2023-06-26,SPL,730.0,805.0,715.4,754.0,6438,4809995.6
