BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-08-17,MHL,237.3,261.0,237.3,261.0,150,37642.1
2022-08-18,MHL,266.2,287.1,266.2,287.1,260,73872.6
2022-08-21,MHL,292.8,315.8,292.8,315.8,650,204702.0
2022-08-22,MHL,322.1,347.3,322.1,347.3,6530,2267250.0
2022-08-23,MHL,354.2,382.0,354.2,382.0,11400,4352674.0
2022-08-24,MHL,389.6,420.2,389.6,420.2,76612,30885464.8
2022-08-25,MHL,428.6,436.0,403.8,415.0,26490,11161246.5
2022-08-26,MHL,407.0,410.1,400.1,407.6,7780,3167122.0
2022-08-28,MHL,400.1,400.1,378.7,380.0,23769,9208169.2
2022-08-29,MHL,374.1,390.0,370.0,383.3,11390,4351223.0
2022-08-30,MHL,390.0,390.0,373.0,375.0,4255,1621203.5
2022-08-31,MHL,368.1,387.6,361.2,377.0,9980,3682766.6
2022-09-01,MHL,379.0,390.0,362.3,388.0,12030,4521718.0
2022-09-02,MHL,388.0,399.0,381.0,393.0,7310,2853173.0
2022-09-04,MHL,386.1,407.0,386.1,400.0,12667,5002067.1
2022-09-05,MHL,394.0,416.0,392.0,392.3,14357,5683397.0
2022-09-06,MHL,386.0,400.0,386.0,400.0,10888,4267258.0
2022-09-07,MHL,392.3,398.0,388.0,398.0,5436,2132130.1
2022-09-08,MHL,393.0,408.8,390.2,400.0,10950,4390482.8
2022-09-11,MHL,393.1,402.0,392.6,393.0,11457,4545569.8
2022-09-12,MHL,386.0,395.0,383.3,383.3,12660,4912634.9
2022-09-13,MHL,383.3,394.9,378.8,394.9,3740,1461884.0
2022-09-14,MHL,400.0,404.0,387.1,402.0,11227,4473641.0
2022-09-15,MHL,410.0,410.0,377.0,389.9,9427,3615878.6
2022-09-16,MHL,382.2,384.9,370.0,384.9,5590,2112173.5
2022-09-18,MHL,378.0,379.9,366.0,374.7,5330,1987421.7
2022-09-20,MHL,368.0,380.0,358.2,363.0,5377,1951324.0
2022-09-21,MHL,356.0,377.1,356.0,369.0,2920,1066489.0
2022-09-22,MHL,361.7,383.8,355.2,358.0,4700,1694231.0
2022-09-25,MHL,351.0,352.1,338.8,339.0,4236,1460666.9
2022-09-27,MHL,345.0,355.9,338.1,342.5,1215,419805.0
2022-09-28,MHL,349.3,374.0,336.1,374.0,1241,441097.2
2022-09-29,MHL,374.0,375.0,355.1,375.0,1859,675994.8
2022-10-09,MHL,375.0,375.0,356.0,372.3,923,336255.0
2022-10-10,MHL,368.0,368.0,350.0,359.8,2471,885666.2
2022-10-11,MHL,352.7,353.8,338.8,353.8,940,324546.0
2022-10-12,MHL,346.8,367.0,335.3,358.0,2411,846889.0
2022-10-13,MHL,350.9,360.9,344.1,360.9,1220,427966.0
2022-10-16,MHL,353.7,353.7,337.2,349.8,1950,667120.0
2022-10-17,MHL,344.0,356.0,336.3,356.0,1405,478874.5
2022-10-19,MHL,348.9,348.9,332.0,340.7,2775,929806.0
2022-10-20,MHL,334.0,344.0,325.1,332.0,2700,890439.0
2022-10-23,MHL,325.6,331.0,322.1,324.9,1350,438135.0
