BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2017-12-05,PLICPO,0.0,950.0,950.0,950.0,65000.0,61750000.0
2017-12-06,PLICPO,0.0,950.0,950.0,950.0,35000.0,33250000.0
2017-12-11,PLICPO,0.0,950.0,950.0,950.0,50000.0,47500000.0
2017-12-12,PLICPO,0.0,950.0,950.0,950.0,40000.0,38000000.0
2018-02-27,PLICPO,0.0,931.0,895.0,895.0,57008.0,52102160.0
2018-03-20,PLICPO,0.0,320.0,320.0,320.0,4000.0,1280000.0
2018-03-21,PLICPO,0.0,314.0,314.0,314.0,1221.0,383394.0
2018-07-11,PLICPO,0.0,300.0,300.0,300.0,357476.0,107242800.0
2018-07-16,PLICPO,0.0,294.0,290.0,290.0,178355.0,52079658.0
2018-07-19,PLICPO,0.0,285.0,285.0,285.0,1073444.0,305931540.0
2018-10-07,PLICPO,0.0,285.0,285.0,285.0,50422.0,14370270.0
2018-10-15,PLICPO,0.0,285.0,285.0,285.0,49578.0,14129730.0
2019-02-27,PLICPO,0.0,232.0,232.0,232.0,24788.0,5750816.0
2020-10-14,PLICPO,0.0,353.0,353.0,353.0,95724.0,33790572.0
2021-07-11,PLICPO,520.0,520.0,520.0,520.0,31000.0,16120000.0
2021-07-18,PLICPO,520.0,520.0,520.0,520.0,30000.0,15600000.0
2021-07-25,PLICPO,520.0,520.0,520.0,520.0,21634.0,11249680.0
2021-12-26,PLICPO,340.0,340.0,340.0,340.0,45449.0,15452660.0
2022-01-02,PLICPO,340.0,340.0,340.0,340.0,41317.0,14047780.0
2022-04-24,PLICPO,380.0,380.0,380.0,380.0,84932.0,32274160.0
2022-04-26,PLICPO,375.0,375.0,375.0,375.0,1000.0,375000.0
